period,clock,abs_seconds_elapsed,score,event_text,bucket,impact_score,reason_code
2,5:21.0,1119.0,-,SUB: Champagnie FOR Barnes,neutral,0.0,NEUTRAL
2,5:14.0,1126.0,42-44,Instant Replay2nd Period (9:38 PM EST),neutral,0.0,NEUTRAL
2,5:14.0,1126.0,-,Hart FLAGRANT.FOUL.TYPE1 (P3.T3) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
2,5:14.0,1126.0,-,Hart Offensive Foul Turnover (P2.T6),bad,-2.61,NYK_TOV
2,5:14.0,1126.0,42-45,Vassell Free Throw Flagrant 1 of 2 (6 PTS),bad,-0.91,SAS_MADE_FT_1POSS
2,5:14.0,1126.0,42-46,Vassell Free Throw Flagrant 2 of 2 (7 PTS),bad,-0.87,SAS_MADE_FT
2,5:14.0,1126.0,-,SUB: Shamet FOR Hart,neutral,0.0,NEUTRAL
2,4:56.0,1144.0,-,MISS Champagnie 24' 3PT Jump Shot,good,1.74,SAS_MISS_FG
2,4:56.0,1144.0,-,SPURS Rebound,bad,-0.87,SAS_REB_TEAM
2,4:56.0,1144.0,-,Anunoby L.B.FOUL (P1.T4) (T.Ford),neutral,0.0,FOUL_NEUTRAL
2,4:56.0,1144.0,-,Robinson T.FOUL (P1.T4) (J.Tiven),neutral,0.0,FOUL_NEUTRAL
2,4:56.0,1144.0,42-47,Wembanyama Free Throw Technical (6 PTS),bad,-0.87,SAS_MADE_FT
2,4:56.0,1144.0,-,SUB: Towns FOR Robinson,neutral,0.0,NEUTRAL
2,4:47.0,1153.0,-,Harper Bad Pass Turnover (P2.T5),good,2.62,SAS_TOV
2,4:47.0,1153.0,-,Anunoby STEAL (1 STL),good,2.62,NYK_STEAL
2,4:45.0,1155.0,-,Vassell S.FOUL (P2.T3) (T.Ford),neutral,0.0,FOUL_NEUTRAL
2,4:45.0,1155.0,43-47,Anunoby Free Throw 1 of 2 (6 PTS),good,0.87,NYK_MADE_FT
2,4:45.0,1155.0,44-47,Anunoby Free Throw 2 of 2 (7 PTS),good,0.92,NYK_MADE_FT_1POSS
2,4:28.0,1172.0,-,Anunoby S.FOUL (P2.PN) (T.Ford),neutral,0.0,FOUL_NEUTRAL
2,4:28.0,1172.0,-,MISS Wembanyama Free Throw 1 of 2,good,0.88,SAS_MISS_FT
2,4:28.0,1172.0,-,SPURS Rebound,bad,-0.88,SAS_REB_TEAM
2,4:28.0,1172.0,44-48,Wembanyama Free Throw 2 of 2 (7 PTS),bad,-0.88,SAS_MADE_FT
2,4:02.0,1198.0,47-48,Bridges 3PT Jump Shot (9 PTS) (Anunoby 2 AST),good,3.59,NYK_MADE_3_1POSS
2,3:49.0,1211.0,-,MISS Johnson 26' 3PT Jump Shot,good,1.78,SAS_MISS_FG
2,3:44.0,1216.0,-,Towns REBOUND (Off:0 Def:6),good,0.89,NYK_REB_D
2,3:39.0,1221.0,49-48,Shamet 1' Running Finger Roll Layup (4 PTS) (Bridges 2 AST),good,2.84,NYK_MADE_2_LEADCHG
2,3:20.0,1240.0,-,MISS Harper 2' Driving Floating Jump Shot,good,1.98,SAS_MISS_FG_STOP_LEADCHG
2,3:18.0,1242.0,-,Harper REBOUND (Off:1 Def:4),bad,-0.9,SAS_REB_D
2,3:15.0,1245.0,49-51,Vassell 26' 3PT Jump Shot (10 PTS) (Wembanyama 1 AST),bad,-3.77,SAS_MADE_3_LEADCHG
2,3:15.0,1245.0,-,Brunson S.FOUL (P2.PN) (T.Brothers),neutral,0.0,FOUL_NEUTRAL
2,3:15.0,1245.0,-,SUB: Fox FOR Johnson,neutral,0.0,NEUTRAL
2,3:15.0,1245.0,-,SUB: Bryant FOR Harper,neutral,0.0,NEUTRAL
2,3:15.0,1245.0,49-52,Vassell Free Throw 1 of 1 (11 PTS),bad,-0.96,SAS_MADE_FT_1POSS
2,3:03.0,1257.0,51-52,Brunson 2' Driving Finger Roll Layup (10 PTS),good,2.76,NYK_MADE_2_1POSS
2,2:45.0,1275.0,-,MISS Vassell 3' Driving Layup,good,1.81,SAS_MISS_FG
2,2:43.0,1277.0,-,Bridges REBOUND (Off:0 Def:4),good,0.9,NYK_REB_D
2,2:40.0,1280.0,-,MISS Brunson 25' 3PT Running Jump Shot,bad,-2.02,NYK_MISS_FG_STOP_LEADCHG
2,2:37.0,1283.0,-,Wembanyama REBOUND (Off:1 Def:4),bad,-0.9,SAS_REB_D
2,2:14.0,1306.0,-,MISS Vassell 25' 3PT Jump Shot,good,1.82,SAS_MISS_FG
2,2:12.0,1308.0,-,Brunson REBOUND (Off:0 Def:2),good,0.91,NYK_REB_D
2,2:07.0,1313.0,-,MISS Anunoby 2' Driving Reverse Layup,bad,-2.06,NYK_MISS_FG_STOP_LEADCHG
2,2:07.0,1313.0,-,Wembanyama BLOCK (2 BLK),bad,-1.82,SAS_BLOCK
2,2:07.0,1313.0,-,Knicks Rebound,good,0.91,NYK_REB_TEAM
2,2:07.0,1313.0,-,Knicks Timeout: Regular (Reg.2 Short 0),bad,-0.91,NYK_TIMEOUT
2,2:07.0,1313.0,-,SUB: Harper FOR Bryant,neutral,0.0,NEUTRAL
2,1:54.0,1326.0,-,Brunson Bad Pass Turnover (P3.T7),bad,-2.75,NYK_TOV
2,1:54.0,1326.0,-,Wembanyama STEAL (1 STL),bad,-2.75,SAS_STEAL
